,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo Directives,Memo
0,20240519,1000.0,0.0,7500.0,0.0,0.0,0.0,-6500.0,0.0,7500.0,1000.0,,
1,20240520,1000.0,20.0,7500.0,0.0,0.0,20.0,-6520.0,0.0,7520.0,1000.0,,food (Credit -$20.0); 
2,20240521,1000.0,40.0,7500.0,0.0,0.0,20.0,-6540.0,0.0,7540.0,1000.0,,food (Credit -$20.0); 
3,20240522,1000.0,60.0,7500.0,0.0,0.0,20.0,-6560.0,0.0,7560.0,1000.0,,food (Credit -$20.0); 
4,20240523,1000.0,80.0,7500.0,0.0,0.0,20.0,-6580.0,0.0,7580.0,1000.0,,food (Credit -$20.0); 
5,20240524,2600.0,100.0,7500.0,0.0,1580.0,0.0,-5000.0,0.0,7600.0,2600.0,,EMT income (Checking +$1600.0); food (Credit -$20.0); 
6,20240525,2600.0,120.0,7500.0,0.0,0.0,20.0,-5020.0,0.0,7620.0,2600.0,,food (Credit -$20.0); 
7,20240526,2600.0,140.0,7500.0,0.0,0.0,20.0,-5040.0,0.0,7640.0,2600.0,,food (Credit -$20.0); 
8,20240527,2600.0,160.0,7500.0,0.0,0.0,20.0,-5060.0,0.0,7660.0,2600.0,,food (Credit -$20.0); 
9,20240528,2600.0,180.0,7500.0,0.0,0.0,20.0,-5080.0,0.0,7680.0,2600.0,,food (Credit -$20.0); 
10,20240529,2600.0,200.0,7500.0,0.0,0.0,20.0,-5100.0,0.0,7700.0,2600.0,,food (Credit -$20.0); 
11,20240530,2600.0,220.0,7500.0,0.0,0.0,20.0,-5120.0,0.0,7720.0,2600.0,,food (Credit -$20.0); 
12,20240531,2600.0,240.0,7500.0,0.0,0.0,20.0,-5140.0,0.0,7740.0,2600.0,,food (Credit -$20.0); 
13,20240601,2600.0,260.0,7500.0,0.0,0.0,20.0,-5160.0,0.0,7760.0,2600.0,,food (Credit -$20.0); 
